accession,alignment_type,read_count
SRR13441700,any,119
SRR13441700,high_identity,94
SRR13441701,any,0
SRR13441701,high_identity,0
SRR13441702,any,0
SRR13441702,high_identity,0
SRR13441703,any,0
SRR13441703,high_identity,0
SRR13441704,any,3184
SRR13441704,high_identity,2048
SRR13441705,any,2828
SRR13441705,high_identity,1902
SRR13441706,any,0
SRR13441706,high_identity,0
SRR13441707,any,0
SRR13441707,high_identity,0
SRR13441708,any,2468
SRR13441708,high_identity,1603
SRR13441709,any,193
SRR13441709,high_identity,132
SRR13441710,any,139
SRR13441710,high_identity,96
SRR13441711,any,0
SRR13441711,high_identity,0
